"YEAR","STATE","RATE","DEATHS","RATE_category"
2014,"OK",63.3,"2,772","High"
2014,"OR",40.1,"1,955","High"
2014,"PA",37,"6,422","Low"
2014,"RI",36,"505","Low"
2014,"SC",48.2,"2,715","High"
2014,"SD",40.8,"441","High"
2014,"TN",52.5,"3,969","High"
2014,"TX",40.5,"9,668","High"
2014,"UT",32.6,"757","Low"
2014,"VT",41.2,"333","High"
2014,"VA",35.3,"3,108","Low"
2014,"WA",37.9,"2,916","Low"
2014,"WV",63,"1,578","High"
2014,"WI",39.3,"2,759","Low"
2014,"WY",55,"343","High"
2005,"AL",50.1,"2,382","High"
2005,"AK",42.7,"158","High"
2005,"AZ",47.9,"2,821","High"
2005,"AR",51.1,"1,559","High"
2005,"CA",41.8,"13,188","High"
2005,"CO",50.9,"1,914","High"
2005,"CT",36.1,"1,471","Low"
2005,"DE",46.8,"411","High"
2005,"FL",40.4,"9,482","High"
2005,"GA",48.4,"3,411","High"
2005,"HI",19.8,"287","Low"
2005,"ID",54.1,"717","High"
2005,"IL",40.4,"5,067","High"
2005,"IN",54.8,"3,471","High"
2005,"IA",47,"1,703","High"
2005,"KS",52.7,"1,567","High"
2005,"KY",61,"2,578","High"
2005,"LA",44.6,"1,906","High"
2005,"ME",53.2,"830","High"
2005,"MD",36.4,"1,908","Low"
2005,"MA",36.6,"2,647","Low"
2005,"MI",43.4,"4,466","High"
2005,"MN",37.4,"1,965","Low"
2005,"MS",52,"1,473","High"
2005,"MO",49.2,"3,085","High"
2005,"MT",54.9,"580","High"
2005,"NE",48.7,"949","High"
2005,"NV",60.4,"1,227","High"
2005,"NH",48.2,"630","High"
2005,"NJ",34,"3,148","Low"
2005,"NM",46.2,"855","High"
2005,"NY",33.2,"6,818","Low"
2005,"NC",49.1,"4,149","High"
2005,"ND",34.4,"272","Low"
2005,"OH",52.8,"6,580","High"
2005,"OK",63.6,"2,368","High"
2005,"OR",47,"1,837","High"
2005,"PA",39.3,"6,149","Low"
2005,"RI",40.6,"523","High"
2005,"SC",46.7,"1,977","High"
2005,"SD",48.1,"440","High"
2005,"TN",52.9,"3,185","High"
2005,"TX",44.1,"7,988","High"
2005,"UT",34.4,"592","Low"
2005,"VT",57.1,"381","High"
2005,"VA",41.8,"2,897","High"
2005,"WA",45.3,"2,699","High"
2005,"WV",60.5,"1,350","High"
2005,"WI",40.7,"2,449","High"
2005,"WY",57.6,"291","High"
